# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
256630,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256672,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
256672,7,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256673,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
251522,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251523,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251559,1,10,0,HLT_PFJet80_v2/0,ONE,L1_SingleJet52/65537
251559,65,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251560,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251561,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251612,1,10,0,HLT_PFJet80_v2/0,ONE,L1_SingleJet52/65537
251612,11,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251636,1,10,65537,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/65537
251640,1,5,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
254293,1,10,2000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/1000
254294,1,10,2000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/1000
254308,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254310,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254362,1,9,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
257027,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257397,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257400,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257824,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
258310,1,1,10000,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/10000
272023,1,0,0,HLT_PFJet80_v4/5,ONE,L1_SingleJet60/0
251121,1,10,65537,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/65537
253947,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
253948,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
253950,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
253954,1,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
253954,6,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254226,18,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254290,1,10,2000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/1000
254292,1,10,2000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/1000
254306,1,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
254306,7,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254306,10,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
254306,11,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254307,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
257805,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
259636,1,1,50000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/10000
259636,2,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
259636,6,1,50000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/10000
259636,7,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
259636,51,5,7500,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/1500
259637,1,1,50000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/10000
259637,4,5,7500,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/1500
